Attendance,AvgPeople,CinemaName,RowNum,TodayAudienceCount,TodayBox,TodayShowCount,price
32.470669,134.43,中国科学技术馆巨幕影院,1,941,54883.00,7,58.32
8.007176,14.46,金逸北京大悦城IMAX店,2,781,50486.00,54,64.64
7.786016,14.70,上海五角场万达广场店,3,1029,50374.00,70,48.95
11.366594,17.47,中影国际影城上海合生汇店,4,1048,49017.00,60,46.77
7.747648,14.00,金逸上海龙之梦IMAX店,5,910,48684.20,65,53.50
7.823257,10.29,SFC上影影城（港汇恒隆永华店）,6,813,48373.50,79,59.50
17.369228,16.40,吉林虹杨国际影院,7,951,44469.00,58,46.76
10.663082,15.35,首都电影院西单店,8,1105,44450.00,72,40.23
8.631521,15.05,上海百丽宫影城（环贸iapm店）,9,632,43275.00,42,68.47
17.233937,26.96,南昌天幕国际影城,10,1402,42920.70,52,30.61
7.553428,15.12,CGV影城 上海莘庄店,11,771,42639.00,51,55.30
8.787861,14.75,北京UME国际影城双井店,12,929,42608.25,63,45.86
7.509008,10.29,南京新街口国际影城,13,1163,42432.00,113,36.48
11.523829,18.13,中影国际影城珠海华发2店,14,1142,42280.00,63,37.02
4.391308,9.09,Jackie Chan北京耀莱,15,982,42149.00,108,42.92
11.926829,19.02,上海开元地中海影城,16,1141,40143.00,60,35.18
7.323589,12.94,百丽宫影城长宁来福士店,17,699,39332.00,54,56.27
7.511942,11.20,武汉汉街万达广场店,18,1019,38941.00,91,38.21
23.375447,22.26,石家庄市中都影城北辰店,19,1291,38375.00,58,29.73
11.096103,16.19,上海星光影城,20,955,38365.00,59,40.17
7.280351,11.15,武商摩尔国际电影城,21,1249,38343.00,112,30.70
10.323886,14.17,上海周浦万达广场店,22,850,37855.00,60,44.54
5.310374,11.68,广州飞扬影城（正佳分店）,23,759,37837.00,65,49.85
7.317073,9.67,北京寰映合生汇店,24,609,37766.00,63,62.01
6.213066,11.24,中影国际影城上海金科路店,25,798,37599.00,71,47.12
8.568894,10.85,郑州奥斯卡熙地港国际影城,26,966,37209.00,89,38.52
25.491071,40.79,厦门嘉庚华谊兄弟电影城,27,1142,37206.00,28,32.58
9.701264,13.69,海上明珠国际影城上海环球港店,28,753,36921.00,55,49.03
8.529621,14.94,上海市百丽宫影城LCM置汇旭辉广场店,29,717,35889.00,48,50.05
5.775000,9.63,CGV影城 上海七宝店,30,616,35676.00,64,57.92
14.563939,21.96,华谊兄弟影院（武汉光谷店）,31,1076,35368.00,49,32.87
5.515333,9.39,闵行区百丽宫影城,32,582,34346.00,62,59.01
21.312405,20.44,石家庄市中都影城荣鼎店,33,1165,34312.00,57,29.45
15.259177,13.55,华谊兄弟金源影院,34,1043,34074.00,77,32.67
6.038865,10.22,上海松江万达广场店,35,787,33833.50,77,42.99
10.148274,14.74,上海百美汇影院,36,501,32398.00,34,64.67
5.171196,11.05,卢米埃北京长楹天街IMAX影城,37,652,32014.00,59,49.10
4.731975,10.48,广州飞扬影城,38,639,31345.00,61,49.05
7.393872,9.34,SFC上影影城（八佰伴店）,39,607,31131.50,65,51.29
6.328125,10.80,广州白云万达广场店,40,648,30905.00,60,47.69
11.234915,18.14,上海和平影都,41,798,30680.00,44,38.45
5.888145,8.47,上海DFC影城（宝山店）,42,923,30670.50,109,33.23
8.937844,14.20,海上明珠国际影城上海莘庄店,43,781,30560.00,55,39.13
8.155429,10.41,北京UME国际影城（安贞店）,44,708,30480.75,68,43.05
4.314707,8.62,金逸北京荟聚IMAX店,45,586,30475.20,68,52.01
10.803059,14.13,上海世纪友谊影城,46,791,30373.99,56,38.40
13.233923,23.67,中影国际影城海口上邦店,47,1136,30337.50,48,26.71
7.512867,11.91,长沙横店潇湘王府井影城,48,905,29961.30,76,33.11
9.620799,9.76,重庆UME国际影城（江北）,49,820,29690.45,84,36.21
10.607770,21.26,中影国际影城武汉光谷天河店,50,999,29379.00,47,29.41
3.845187,6.13,北京通州万达广场店,51,472,29369.50,77,62.22
11.125158,17.60,南昌华影国际影城,52,880,29359.00,50,33.36
13.482335,19.68,敦化市虹杨国际影城,53,748,29202.00,38,39.04
5.575380,10.66,成都百丽宫影城（太古里店）,54,618,29080.00,58,47.06
4.562651,7.18,深圳市万象影城罗湖万象城店,55,603,28736.00,84,47.66
4.803122,8.73,上海江桥万达广场店,56,576,28297.50,66,49.13
6.434754,11.37,CGV影城 长沙德思勤店,57,591,27851.00,52,47.13
7.694656,10.08,金逸影城北京中关村店,58,504,27686.20,50,54.93
14.097739,12.81,浦东新区华夏久金国际影城,59,679,27651.00,53,40.72
4.142435,7.23,CGV影城 深圳壹方城店,60,542,27490.00,75,50.72
12.219382,11.11,闵行区CMC大光明影城,61,733,27287.00,66,37.23
13.152643,25.52,上海曹杨影院,62,791,27252.00,31,34.45
6.274681,8.31,重庆UME国际影城（渝中店）,63,715,27189.20,86,38.03
8.324006,8.75,中影星美国际影城万家丽店,64,910,27184.00,104,29.87
6.454593,10.19,南昌红谷滩万达广场店,65,652,27060.40,64,41.50
13.910034,20.10,苏州中宁大地影城,66,804,27046.00,40,33.64
6.669827,11.41,上海新天地UME影城,67,422,26874.00,37,63.68
4.728593,7.13,上海宝山万达广场店,68,542,26869.00,76,49.57
12.066365,18.46,卢米埃上海紫荆影城,69,720,26810.00,39,37.24
8.718778,7.25,上海苏宁影城南奉公路店,70,696,26728.00,96,38.40
4.394654,6.99,上海寰映影城大融城店,71,559,26714.00,80,47.79
8.960763,11.02,金逸新恒星影城,72,507,26699.00,46,52.66
10.118940,18.11,海口星轶影城（吾悦广场IMAX店）,73,1123,26625.00,62,23.71
7.389840,11.06,武汉博纳国际电影城,74,785,26620.00,71,33.91
4.460214,10.23,金逸天津大悦城IMAX店,75,675,26518.00,66,39.29
9.960135,15.18,洛阳万达影城世茂广场店,76,744,26355.00,49,35.42
11.207496,11.96,SFC上影影城（百联川沙店）,77,598,26262.90,50,43.92
5.546751,7.00,德纳国际影城杭州萧山店,78,623,26232.00,89,42.11
7.419354,17.25,SFC上影影城（美罗城店）,79,483,26153.00,28,54.15
9.316161,11.16,昆明万达影城同德广场店,80,636,26137.00,57,41.10
9.754330,12.28,首都电影院昌平店,81,700,25962.68,57,37.09
6.700146,12.60,北京UME华星国际影城,82,542,25781.50,43,47.57
4.194053,12.57,上海大光明影院,83,553,25775.00,44,46.61
7.620507,10.79,海上明珠国际影城上海大宁店,84,561,25749.00,52,45.90
6.703244,8.78,SFC上影影城（天山缤谷广场店）,85,562,25687.20,64,45.71
15.949416,9.87,广州市中都影城克洛维店,86,809,25646.00,82,31.70
7.850931,11.06,金逸广州海珠城IMAX店 ,87,553,25581.50,50,46.26
5.327775,10.82,奥斯卡熙地港国际影城,88,703,25556.90,65,36.35
5.178858,9.02,兰州城关万达广场店,89,550,25510.80,61,46.38
7.752403,16.13,保利国际影城上海江川店,90,903,25419.00,56,28.15
4.962747,10.96,金逸武汉销品茂IMAX店,91,778,25387.50,71,32.63
4.571219,8.33,深圳市百老汇电影中心影城,92,525,25380.00,63,48.34
6.154714,9.91,呼和浩特万达广场店,93,545,25334.00,55,46.48
11.424150,17.64,深圳百老汇影城,94,635,25238.00,36,39.74
8.108297,10.76,长宁区天山电影院,95,495,25230.00,46,50.97
6.071311,10.31,CGV影城 上海大宁店,96,464,24874.00,45,53.61
7.705856,8.97,重庆万达影城大融城店,97,700,24806.00,78,35.44
4.581847,7.18,成都锦华万达广场店,98,589,24763.60,82,42.04
9.181626,11.97,石家庄UME影城,99,838,24705.00,70,29.48
4.263606,9.69,金逸影城武汉王家湾店,100,659,24560.90,68,37.27
